"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
1.781776006E2,6.098638410E1,2.565768782E1,1.080043722E2,1.150583853E0,3.174035391E2,1.153335877E1,7.985568860E0
1.791776004E2,6.098639024E1,2.565765529E1,1.082817946E2,9.815277160E-1,3.155870473E2,1.183182869E1,8.163814836E0
1.801776006E2,6.098639760E1,2.565761992E1,1.073645652E2,9.452713062E-1,3.117896583E2,1.186788475E1,8.155160924E0
1.811776017E2,6.098640918E1,2.565759735E1,1.068992728E2,9.507573744E-1,3.166510813E2,1.239555736E1,8.561382301E0
1.821776000E2,6.098641359E1,2.565756403E1,1.071497616E2,7.972005228E-1,3.118665384E2,1.247454862E1,8.509252650E0
1.831776005E2,6.098642184E1,2.565753092E1,1.054945830E2,9.633201590E-1,3.128159623E2,1.267266077E1,8.644029703E0
1.841776004E2,6.098642910E1,2.565749366E1,1.055499844E2,1.139524193E0,3.086220550E2,1.285172310E1,8.740813040E0
1.851776005E2,6.098643589E1,2.565746383E1,1.063094906E2,1.005505285E0,3.091419459E2,1.286286858E1,8.703268541E0
1.861776012E2,6.098644792E1,2.565742325E1,1.052431263E2,1.178410356E0,3.096118870E2,1.294842630E1,8.746507303E0
1.871776016E2,6.098645219E1,2.565737752E1,1.052921851E2,1.259287064E0,3.017655292E2,1.319014252E1,8.833202338E0
1.881776009E2,6.098645820E1,2.565734340E1,1.052627070E2,1.165893449E0,3.004852451E2,1.296369298E1,8.590684246E0
1.891776007E2,6.098646641E1,2.565730963E1,1.043721955E2,1.122810983E0,3.072466119E2,1.274262564E1,8.342967784E0
1.901776001E2,6.098647143E1,2.565727890E1,1.045821104E2,1.045327857E0,3.082050863E2,1.271593127E1,8.200742019E0
1.911776009E2,6.098648687E1,2.565724747E1,1.049646177E2,1.278545701E0,3.194499864E2,1.244821309E1,7.965103560E0
1.921776003E2,6.098649535E1,2.565722117E1,1.050862908E2,1.176701066E0,3.231068024E2,1.217788422E1,7.769341740E0
1.931776012E2,6.098650177E1,2.565720125E1,1.051661946E2,9.379127228E-1,3.300646491E2,1.192276137E1,7.524430005E0
1.941776001E2,6.098650988E1,2.565715577E1,1.047385780E2,1.261912877E0,3.145716641E2,1.160127940E1,7.432285019E0
1.951776004E2,6.098651780E1,2.565712110E1,1.050823687E2,1.274972838E0,3.116181532E2,1.137061321E1,7.270687103E0
1.961776009E2,6.098652268E1,2.565709011E1,1.047079993E2,1.156225513E0,3.104568093E2,1.110990513E1,7.068721788E0
1.971776017E2,6.098652925E1,2.565705164E1,1.042967585E2,1.429902523E0,3.059218282E2,1.091357640E1,7.070818046E0
1.981776003E2,6.098653472E1,2.565702593E1,1.047676710E2,1.243592027E0,3.058512467E2,1.063782252E1,6.849057407E0
1.991776001E2,6.098653929E1,2.565698999E1,1.049614060E2,1.117793723E0,3.059664597E2,1.046654871E1,6.759205064E0
2.001776003E2,6.098654895E1,2.565694949E1,1.048053882E2,1.256256211E0,3.094208434E2,1.031337418E1,6.684014090E0
2.011776011E2,6.098655562E1,2.565692078E1,1.050448862E2,1.205893847E0,3.116484385E2,1.037690781E1,6.670463875E0
2.021776003E2,6.098655998E1,2.565688601E1,1.056135902E2,1.106029679E0,3.094379965E2,1.016259035E1,6.607134666E0
2.031776015E2,6.098656235E1,2.565686350E1,1.050881326E2,9.413340245E-1,3.052039975E2,1.009520520E1,6.610604094E0
2.041776006E2,6.098657105E1,2.565682722E1,1.051824006E2,1.125011502E0,3.102603162E2,1.008210966E1,6.641981377E0
2.051776010E2,6.098657768E1,2.565678494E1,1.053019738E2,1.256101588E0,3.112485672E2,1.005209497E1,6.615823878E0
2.061776009E2,6.098658329E1,2.565675517E1,1.055197500E2,1.110513888E0,3.141313969E2,9.838626862E0,6.403254485E0
2.071776004E2,6.098659112E1,2.565672301E1,1.053136843E2,1.145738583E0,3.142848465E2,9.690104385E0,6.322849513E0
2.081776010E2,6.098659849E1,2.565669965E1,1.054278975E2,1.096248322E0,3.163883359E2,9.495581109E0,6.243945044E0
2.091776005E2,6.098660579E1,2.565666393E1,1.060154579E2,1.087877577E0,3.169865850E2,9.502419130E0,6.173424455E0
2.101776004E2,6.098660578E1,2.565661293E1,1.053182889E2,9.858115587E-1,3.109432430E2,9.466566062E0,6.171710598E0
2.111776017E2,6.098661390E1,2.565655835E1,1.057029072E2,1.283699695E0,3.091943885E2,9.401078552E0,6.228703850E0
2.121776010E2,6.098662177E1,2.565652123E1,1.063048114E2,1.340709757E0,3.046052958E2,9.292977446E0,6.250230646E0
2.131776012E2,6.098663013E1,2.565648923E1,1.062009322E2,1.363707631E0,3.089433056E2,9.137885418E0,6.135636706E0
2.141776015E2,6.098663406E1,2.565645932E1,1.065933484E2,1.447166711E0,3.001727487E2,8.908446807E0,6.066148547E0
2.151776007E2,6.098663983E1,2.565643525E1,1.065729393E2,1.230404919E0,2.998073662E2,8.825638768E0,5.965771461E0
2.161776010E2,6.098665103E1,2.565640907E1,1.072558387E2,1.351084298E0,3.090893800E2,8.780617789E0,5.928753543E0
2.171776012E2,6.098665362E1,2.565638063E1,1.065721574E2,1.111958382E0,3.075208080E2,8.909317336E0,6.017138910E0
2.181776009E2,6.098665759E1,2.565634984E1,1.068491820E2,1.039346729E0,3.092296243E2,8.768016500E0,5.918869055E0
2.191776010E2,6.098665982E1,2.565631471E1,1.073354109E2,1.078467347E0,3.054466540E2,8.526060291E0,5.793128908E0
2.201776018E2,6.098666073E1,2.565627012E1,1.077136601E2,9.673919750E-1,3.068285569E2,8.325790293E0,5.653190325E0
2.211776007E2,6.098666796E1,2.565625101E1,1.080000166E2,9.125911573E-1,3.126911174E2,8.208203908E0,5.513290397E0
2.221776011E2,6.098667473E1,2.565623464E1,1.081610310E2,9.208741530E-1,3.161855428E2,8.393551384E0,5.593749212E0
2.231776006E2,6.098668489E1,2.565621437E1,1.080695341E2,1.041163337E0,3.177041604E2,8.579318127E0,5.905012733E0
2.241776004E2,6.098669930E1,2.565620685E1,1.083851922E2,1.179599161E0,3.236481011E2,8.591955203E0,5.856548929E0
2.251776007E2,6.098670765E1,2.565621161E1,1.068619629E2,9.961166103E-1,3.324912149E2,8.544445338E0,5.764293566E0
2.261776010E2,6.098672033E1,2.565620573E1,1.071022463E2,1.077908784E0,3.292301401E2,8.544341699E0,5.735421089E0
2.271776007E2,6.098673379E1,2.565620007E1,1.078725813E2,1.141286907E0,3.290270477E2,8.465553840E0,5.675709672E0
2.281776011E2,6.098674360E1,2.565619733E1,1.076274390E2,1.001615901E0,3.300591878E2,8.417273639E0,5.690128806E0
2.291776009E2,6.098675547E1,2.565619467E1,1.076047301E2,8.633386857E-1,3.324686639E2,8.498648941E0,5.860571937E0
2.301776010E2,6.098677061E1,2.565619864E1,1.065793123E2,1.010811108E0,3.347726142E2,8.493943650E0,5.989282157E0
2.311776012E2,6.098678291E1,2.565619858E1,1.076807068E2,9.465698537E-1,3.362033091E2,8.479316756E0,6.049457507E0
2.321776012E2,6.098679399E1,2.565620590E1,1.060741881E2,9.162759038E-1,3.367343581E2,8.518349723E0,6.082402276E0
2.331776007E2,6.098680293E1,2.565620178E1,1.059287074E2,8.828551781E-1,3.372388032E2,8.555845186E0,6.066371118E0
2.341776007E2,6.098681468E1,2.565619630E1,1.053127223E2,1.003725448E0,3.375431326E2,8.612800851E0,6.046673849E0
2.351776010E2,6.098681963E1,2.565618201E1,1.053826601E2,8.241445124E-1,3.336016697E2,8.758798873E0,6.213962195E0
2.361776006E2,6.098682143E1,2.565616208E1,1.047004048E2,7.973023878E-1,3.238782357E2,8.809527694E0,6.194682766E0
2.371776012E2,6.098682350E1,2.565615174E1,1.047973074E2,7.143457238E-1,3.191682734E2,8.779060127E0,6.047585806E0
2.381776013E2,6.098683359E1,2.565613212E1,1.048909502E2,9.652274007E-1,3.196035084E2,8.628227102E0,5.900151613E0
2.391776011E2,6.098684779E1,2.565610977E1,1.050754022E2,1.245757562E0,3.193654979E2,8.540722336E0,5.916715503E0
2.401776012E2,6.098686164E1,2.565608888E1,1.042226610E2,1.388444561E0,3.193345163E2,8.406045369E0,5.755860295E0
2.411776012E2,6.098686433E1,2.565608457E1,1.045609832E2,7.383245178E-1,3.092722221E2,8.320679671E0,5.889965442E0
2.421776018E2,6.098685987E1,2.565605969E1,1.043979324E2,9.118109488E-1,2.915145451E2,8.250003375E0,5.963688697E0
2.431776012E2,6.098685127E1,2.565604489E1,1.040992925E2,6.196206542E-1,2.660015500E2,8.294790486E0,5.948609161E0
2.441776009E2,6.098684415E1,2.565602893E1,1.040238731E2,5.611696160E-1,2.456104852E2,8.235960257E0,5.797774265E0
2.451776013E2,6.098683969E1,2.565599940E1,1.043204328E2,9.520997060E-1,2.510432365E2,8.132547562E0,5.779260431E0
2.461776011E2,6.098683798E1,2.565598132E1,1.043494327E2,8.215366493E-1,2.563841242E2,8.021428711E0,5.824547323E0
2.471776007E2,6.098683299E1,2.565596244E1,1.049292846E2,7.920577620E-1,2.546838187E2,7.882415864E0,5.728124194E0
2.481776004E2,6.098683063E1,2.565594638E1,1.051304360E2,6.862823291E-1,2.563264279E2,7.830315674E0,5.892502332E0
2.491776011E2,6.098683460E1,2.565592785E1,1.032666488E2,6.304637203E-1,2.818572973E2,7.823363883E0,5.977985257E0
2.501776009E2,6.098684044E1,2.565591606E1,1.039311766E2,7.283299955E-1,2.928927975E2,7.991412865E0,6.044295656E0
2.511776015E2,6.098684523E1,2.565589492E1,1.040995177E2,9.838179554E-1,2.918964543E2,7.945833445E0,6.049758632E0
2.521776005E2,6.098685159E1,2.565586737E1,1.036148087E2,1.221251099E0,2.843768351E2,7.888643886E0,6.046588927E0
2.531776013E2,6.098684926E1,2.565585396E1,1.035591026E2,1.056810900E0,2.783504935E2,7.747617016E0,5.913435548E0
2.541776013E2,6.098684320E1,2.565584986E1,1.033698657E2,8.183307357E-1,2.571048912E2,7.751490975E0,6.097490225E0
2.551776013E2,6.098683832E1,2.565584267E1,1.045015927E2,6.655811240E-1,2.445083615E2,7.555776927E0,5.938341223E0
2.561776018E2,6.098683045E1,2.565582184E1,1.028095174E2,9.394693635E-1,2.360357501E2,7.446928602E0,5.921639601E0
2.571776010E2,6.098681924E1,2.565581336E1,1.036622421E2,7.541281149E-1,2.240154863E2,7.486045995E0,6.077010997E0
2.581776007E2,6.098681148E1,2.565579333E1,1.037004762E2,8.518338173E-1,2.299406174E2,7.360189202E0,5.957329971E0
2.591776004E2,6.098680234E1,2.565577179E1,1.043286891E2,1.193230434E0,2.299776309E2,7.307027391E0,5.934232963E0
2.601775416E2,6.098679513E1,2.565576766E1,1.034324467E2,9.580585725E-1,2.254092316E2,7.148848501E0,5.875031278E0
2.611772262E2,6.098679194E1,2.565575760E1,1.031712272E2,6.973894794E-1,2.325702196E2,7.192714397E0,5.846413039E0
2.621772248E2,6.098678182E1,2.565573562E1,1.027931842E2,9.261742761E-1,2.330273602E2,7.285843582E0,5.980614579E0
2.631775312E2,6.098676984E1,2.565570578E1,1.038851030E2,1.266585189E0,2.339329367E2,7.261703496E0,5.912663153E0
2.641772169E2,6.098676137E1,2.565569058E1,1.028622457E2,1.196022477E0,2.329349954E2,7.175993655E0,5.823415526E0
2.651772171E2,6.098674732E1,2.565567641E1,1.027054567E2,1.216888267E0,2.212534786E2,7.030843032E0,5.742043186E0
2.661775229E2,6.098673725E1,2.565567215E1,1.026192305E2,1.042549189E0,2.121119624E2,6.901407989E0,5.633172298E0
2.671775180E2,6.098672526E1,2.565565540E1,1.031647535E2,1.229891653E0,2.138710527E2,6.810395457E0,5.566998624E0
2.681775175E2,6.098671371E1,2.565563940E1,1.034382261E2,1.206605444E0,2.129717511E2,6.879593773E0,5.633103219E0
2.691775140E2,6.098670789E1,2.565562278E1,1.031202124E2,1.055083872E0,2.202798879E2,6.859427682E0,5.628898943E0
2.701771936E2,6.098669861E1,2.565560483E1,1.027145137E2,1.125880835E0,2.230546387E2,6.825463327E0,5.539159017E0
2.711771929E2,6.098668745E1,2.565558264E1,1.027604853E2,1.268363746E0,2.246801354E2,6.756719349E0,5.435380501E0
2.721775049E2,6.098667355E1,2.565556764E1,1.032074593E2,1.410560928E0,2.185935574E2,6.625383269E0,5.292666551E0
2.731774993E2,6.098666386E1,2.565555260E1,1.026899431E2,1.377630080E0,2.168497419E2,6.523972258E0,5.164552776E0
2.741774991E2,6.098665957E1,2.565553935E1,1.024791363E2,1.145545605E0,2.185912658E2,6.465321347E0,5.253192459E0
2.751775000E2,6.098665553E1,2.565552642E1,1.033691977E2,8.072214609E-1,2.242069118E2,6.418216204E0,5.176434451E0
2.761774995E2,6.098664756E1,2.565550616E1,1.031201083E2,9.907615656E-1,2.274546993E2,6.265842501E0,5.117684615E0
2.771774998E2,6.098663631E1,2.565547832E1,1.037264059E2,1.455669780E0,2.263017613E2,6.229041058E0,5.097928384E0
2.781774997E2,6.098662979E1,2.565546478E1,1.034242334E2,1.181234041E0,2.254819534E2,6.147629870E0,5.012942983E0
2.791774994E2,6.098662269E1,2.565544942E1,1.030372746E2,9.974567894E-1,2.268852176E2,6.110670818E0,4.958588139E0
2.801774993E2,6.098661219E1,2.565541869E1,1.045428697E2,1.299115663E0,2.312377301E2,6.088834873E0,4.950679691E0
2.811774997E2,6.098660780E1,2.565540460E1,1.032667215E2,1.102509777E0,2.334940441E2,6.122554107E0,4.963861632E0
2.821774999E2,6.098660079E1,2.565538915E1,1.034500838E2,1.031228522E0,2.351251737E2,6.116106585E0,4.986003792E0
2.831775002E2,6.098658587E1,2.565538250E1,1.038784979E2,9.659892591E-1,2.268425297E2,6.134107830E0,5.146863512E0
2.841774999E2,6.098657656E1,2.565538140E1,1.033423160E2,7.746273779E-1,2.209894484E2,6.030505972E0,5.091100377E0
2.851774995E2,6.098655718E1,2.565536326E1,1.030876283E2,9.880779043E-1,2.202212695E2,5.974694035E0,5.182810076E0
2.861775000E2,6.098654664E1,2.565534066E1,1.029657063E2,1.181507096E0,2.218691187E2,6.036488349E0,5.211101162E0
2.871775004E2,6.098653508E1,2.565532391E1,1.042172348E2,1.191283500E0,2.232780889E2,6.028701731E0,5.194017995E0
2.881775000E2,6.098652148E1,2.565531664E1,1.029247776E2,1.173930751E0,2.209679479E2,6.056907272E0,5.230428745E0
2.891774994E2,6.098650726E1,2.565530342E1,1.031996454E2,1.196671005E0,2.205378996E2,6.009639474E0,5.276648514E0
2.901774995E2,6.098649167E1,2.565529661E1,1.030228632E2,1.129708289E0,2.165539647E2,5.946835060E0,5.249472929E0
2.911774995E2,6.098648537E1,2.565527862E1,1.025341219E2,9.949616123E-1,2.256034347E2,6.001670614E0,5.246781231E0
2.921774989E2,6.098647225E1,2.565525916E1,1.025829111E2,1.289206405E0,2.238327747E2,6.034390696E0,5.197119619E0
2.931774998E2,6.098646212E1,2.565524470E1,1.022908738E2,1.267877282E0,2.245400916E2,5.884830263E0,4.984318436E0
2.941775000E2,6.098645214E1,2.565521110E1,1.035705512E2,1.456357748E0,2.266312947E2,5.799430650E0,4.858327351E0
2.951775006E2,6.098644262E1,2.565519868E1,1.027380980E2,1.241963981E0,2.239672857E2,5.825654614E0,4.904499037E0
2.961774994E2,6.098643543E1,2.565518276E1,1.031593257E2,1.075374291E0,2.233051956E2,5.771181326E0,4.829928253E0
2.971774999E2,6.098642523E1,2.565516435E1,1.037079132E2,1.165945729E0,2.205341593E2,5.866915192E0,4.881924309E0
2.981775006E2,6.098641474E1,2.565514994E1,1.035175423E2,1.227602320E0,2.186466149E2,5.752093961E0,4.750673547E0
2.991775008E2,6.098640351E1,2.565513381E1,1.034592622E2,1.149912974E0,2.182104011E2,5.668476201E0,4.636163698E0
3.001775001E2,6.098639153E1,2.565512089E1,1.032327913E2,1.171504897E0,2.185106925E2,5.809929730E0,4.781803120E0
3.011775001E2,6.098638274E1,2.565511057E1,1.029524917E2,1.108845599E0,2.165139246E2,5.802888461E0,4.719906587E0
3.021775005E2,6.098636439E1,2.565509014E1,1.041406236E2,1.396821352E0,2.182537185E2,5.824496864E0,4.750676152E0
3.031774993E2,6.098634929E1,2.565508928E1,1.018911293E2,1.196944252E0,2.171029390E2,5.811669749E0,4.777209501E0
3.041774994E2,6.098633897E1,2.565508094E1,1.018949332E2,1.125967851E0,2.159405563E2,5.823579883E0,4.751212119E0
3.051775001E2,6.098632603E1,2.565505719E1,1.024631485E2,1.327965253E0,2.207967319E2,5.825318131E0,4.734013049E0
3.061775036E2,6.098631276E1,2.565504436E1,1.028216396E2,1.475805850E0,2.157717075E2,5.790077831E0,4.781042006E0
3.071775005E2,6.098629753E1,2.565503068E1,1.020600702E2,1.511944303E0,2.154212618E2,5.774381431E0,4.804286904E0
3.081775005E2,6.098628525E1,2.565502488E1,1.017952693E2,1.354064481E0,2.118476513E2,5.738817510E0,4.759845422E0
3.091775007E2,6.098627525E1,2.565501319E1,1.010222075E2,1.297641767E0,2.130472839E2,5.735853216E0,4.691211531E0
3.101775000E2,6.098626284E1,2.565498777E1,1.029189397E2,1.513368668E0,2.179764532E2,5.738528343E0,4.619054199E0
3.111774999E2,6.098625260E1,2.565497482E1,1.014334907E2,1.545437646E0,2.185018835E2,5.639574131E0,4.622787659E0
3.121775005E2,6.098624037E1,2.565495834E1,1.009461604E2,1.454302344E0,2.198059480E2,5.553860837E0,4.654284489E0
3.131774999E2,6.098622842E1,2.565494273E1,1.012423556E2,1.395429513E0,2.185127701E2,5.417962749E0,4.510888354E0
3.141775001E2,6.098621713E1,2.565492630E1,1.018990769E2,1.334282631E0,2.206258704E2,5.363019487E0,4.451707860E0
3.151774995E2,6.098620419E1,2.565491608E1,1.012133270E2,1.332877080E0,2.154594435E2,5.274512635E0,4.321511246E0
3.161775005E2,6.098619573E1,2.565490595E1,1.009744706E2,1.164657561E0,2.128205811E2,5.228060173E0,4.245237891E0
3.171775005E2,6.098618829E1,2.565489020E1,1.013445498E2,1.053994601E0,2.167399422E2,5.202688830E0,4.228165991E0
3.181775006E2,6.098617990E1,2.565486892E1,1.009688995E2,1.117826375E0,2.208480602E2,5.183686395E0,4.191093393E0
3.191774994E2,6.098616990E1,2.565485387E1,1.005880421E2,1.202266138E0,2.218910319E2,5.119211561E0,4.194843045E0
3.201775007E2,6.098615523E1,2.565483533E1,1.007003060E2,1.436018291E0,2.190264336E2,5.101101817E0,4.187444266E0
3.211774999E2,6.098614016E1,2.565481579E1,1.007267457E2,1.612769933E0,2.184386228E2,4.971396928E0,4.083249300E0
3.221775004E2,6.098612991E1,2.565480131E1,1.003457989E2,1.509295546E0,2.192750707E2,4.956674302E0,4.196816917E0
3.231775005E2,6.098611728E1,2.565478925E1,1.003407920E2,1.501189251E0,2.156319251E2,4.909591477E0,4.115278353E0
3.241775002E2,6.098611015E1,2.565476228E1,1.005548682E2,1.367651494E0,2.194502181E2,4.843834567E0,4.000362323E0
3.251775007E2,6.098609903E1,2.565473945E1,1.007154791E2,1.388202679E0,2.214739729E2,4.767855125E0,4.100520325E0
3.261775000E2,6.098609127E1,2.565471150E1,1.011188711E2,1.462700559E0,2.254443446E2,4.706510909E0,4.206884921E0
3.271774998E2,6.098608045E1,2.565469627E1,1.010145755E2,1.377116671E0,2.219663275E2,4.607651600E0,4.109204920E0
3.281775002E2,6.098607317E1,2.565468399E1,1.001933426E2,1.141864011E0,2.200869214E2,4.525433507E0,4.018707508E0
3.291774998E2,6.098606261E1,2.565467080E1,1.006625263E2,1.154274621E0,2.148417108E2,4.504328155E0,4.000672435E0
3.301775000E2,6.098605034E1,2.565465330E1,1.009633975E2,1.322193788E0,2.119416601E2,4.473596795E0,3.983154154E0
3.311775002E2,6.098604202E1,2.565463848E1,1.001304904E2,1.236452832E0,2.111654763E2,4.412229301E0,3.917436888E0
3.321774999E2,6.098603360E1,2.565462302E1,1.005648684E2,1.198518957E0,2.149682580E2,4.377683533E0,3.855182940E0
3.331775006E2,6.098602044E1,2.565461538E1,1.005389248E2,1.280759840E0,2.075994281E2,4.362654412E0,3.860892319E0
3.341775004E2,6.098600618E1,2.565461779E1,1.005859735E2,1.254217769E0,1.970064641E2,4.486897527E0,3.954620396E0
3.351774999E2,6.098599364E1,2.565461566E1,1.010775913E2,1.230080524E0,1.920869807E2,4.491725031E0,3.998658245E0
3.361774995E2,6.098598056E1,2.565461460E1,1.003515915E2,1.276905464E0,1.898771805E2,4.496015406E0,4.002618494E0
3.371774999E2,6.098596720E1,2.565460955E1,1.003828719E2,1.325641752E0,1.899003635E2,4.540901031E0,4.061656435E0
3.381775006E2,6.098595575E1,2.565460671E1,1.007515146E2,1.339913377E0,1.872927980E2,4.621098401E0,4.150083313E0
3.391775010E2,6.098594422E1,2.565460237E1,1.017450075E2,1.231908573E0,1.896366872E2,4.603800810E0,4.094166637E0
3.401774995E2,6.098593020E1,2.565460702E1,1.010261436E2,1.317523745E0,1.842981621E2,4.534389303E0,4.003647217E0
3.411775002E2,6.098591815E1,2.565460592E1,1.011797637E2,1.213657916E0,1.873114483E2,4.648207255E0,4.095648439E0
3.421774999E2,6.098590743E1,2.565460461E1,1.012065489E2,1.123681663E0,1.885428620E2,4.867623727E0,4.249799973E0
3.431775011E2,6.098588881E1,2.565459735E1,1.022507251E2,1.470500147E0,1.904584712E2,5.152008945E0,4.518483602E0
3.441774997E2,6.098587385E1,2.565459664E1,1.015627704E2,1.552411578E0,1.908234046E2,5.195244012E0,4.721355453E0
3.451774998E2,6.098585802E1,2.565459683E1,1.010436376E2,1.532366099E0,1.885943383E2,5.301735077E0,4.851430895E0
3.461775000E2,6.098584256E1,2.565459399E1,1.014227277E2,1.557342493E0,1.935471059E2,5.581298367E0,5.104781875E0
3.471774994E2,6.098582659E1,2.565459521E1,1.015725666E2,1.516970142E0,1.937244776E2,5.803742295E0,5.374995245E0
3.481774995E2,6.098581093E1,2.565458794E1,1.022892457E2,1.550691534E0,1.963893307E2,5.883481333E0,5.488764901E0
3.491774998E2,6.098579299E1,2.565458743E1,1.018890551E2,1.567577809E0,1.925863272E2,5.929013024E0,5.562276864E0
3.501775005E2,6.098577669E1,2.565457917E1,1.017880331E2,1.530564831E0,1.945530533E2,6.085241819E0,5.779451329E0
3.511775001E2,6.098576053E1,2.565457471E1,1.015509946E2,1.472914951E0,1.926095648E2,6.239928568E0,6.079623158E0
3.521774993E2,6.098574747E1,2.565456418E1,1.017661281E2,1.317346500E0,1.974363610E2,6.345749426E0,6.131381018E0
3.531774994E2,6.098573245E1,2.565455578E1,1.023953756E2,1.276068307E0,1.976173847E2,6.392891991E0,6.159880339E0
3.541775000E2,6.098571877E1,2.565453867E1,1.033098371E2,1.248957912E0,2.052491209E2,6.379386426E0,6.177016575E0
3.551775005E2,6.098570716E1,2.565453539E1,1.017158972E2,1.063685562E0,2.050017255E2,6.378197817E0,6.089812116E0
3.561774999E2,6.098569786E1,2.565452885E1,1.019033852E2,8.389159946E-1,2.056192825E2,6.350072218E0,6.068256544E0
3.571774999E2,6.098568423E1,2.565451447E1,1.023947461E2,1.018527067E0,2.098731999E2,6.230470813E0,5.948689725E0
3.581774999E2,6.098567137E1,2.565449502E1,1.028425026E2,1.207552385E0,2.146287915E2,6.173687662E0,5.889616291E0
3.591775001E2,6.098566062E1,2.565448507E1,1.028127235E2,1.046789996E0,2.096185801E2,6.183612155E0,5.822338388E0